i-value,data-handle,barlength
376,C:maj,3
377,C:maj,3
378,C:maj,3
379,C:maj,3
380,C:maj,3
381,C:maj,3
382,C:maj,3
383,C:maj,3
384,C:maj,3
385,C:maj,3
386,C:maj,3
387,C:maj,3
388,E:min,3
389,E:min,3
390,E:min,3
391,E:min,3
392,E:min,3
393,E:min,3
394,G:maj,3
395,G:maj,3
396,G:maj,3
397,G:maj,3
398,G:maj,3
399,G:maj,3
400,C:maj,3
401,C:maj,3
402,C:maj,3
403,C:maj,3
404,C:maj,3
405,C:maj,3
406,C:maj,3
407,C:maj,3
408,C:maj,3
409,C:maj,3
410,C:maj,3
411,C:maj,3
412,E:min,3
413,E:min,3
414,E:min,3
415,E:min,3
416,E:min,3
417,E:min,3
418,G:maj,3
419,G:maj,3
420,G:maj,3
421,G:maj,3
422,G:maj,3
423,G:maj,3
424,C:maj,3
425,C:maj,3
426,C:maj,3
427,C:maj,3
428,C:maj,3
429,C:maj,3
430,C:maj,3
431,C:maj,3
432,C:maj,3
433,C:maj,3
434,C:maj,3
435,C:maj,3
436,E:min,3
437,E:min,3
438,E:min,3
439,E:min,3
440,E:min,3
441,E:min,3
442,G:maj,3
443,G:maj,3
444,G:maj,3
445,G:maj,3
446,G:maj,3
447,G:maj,3
448,C:maj,3
449,C:maj,3
450,C:maj,3
451,C:maj,3
452,C:maj,3
453,C:maj,3
454,C:maj,3
455,C:maj,3
456,C:maj,3
457,C:maj,3
458,C:maj,3
459,C:maj,3
460,E:min,3
461,E:min,3
462,E:min,3
463,E:min,3
464,E:min,3
465,E:min,3
466,G:maj,3
467,G:maj,3
468,G:maj,3
469,G:maj,3
470,G:maj,3
471,G:maj,3
472,C:maj,3
473,C:maj,3
474,C:maj,3
475,C:maj,3
476,C:maj,3
477,C:maj,3
478,C:maj,3
479,C:maj,3
480,C:maj,3
481,C:maj,3
482,C:maj,3
483,C:maj,3
484,E:min,3
485,E:min,3
486,E:min,3
487,E:min,3
488,E:min,3
489,E:min,3
490,G:maj,3
491,G:maj,3
492,G:maj,3
493,G:maj,3
494,G:maj,3
495,G:maj,3
496,C:maj,3
497,C:maj,3
498,C:maj,3
499,C:maj,3
500,C:maj,3
501,C:maj,3
502,C:maj,3
503,C:maj,3
504,C:maj,3
505,C:maj,3
506,C:maj,3
507,C:maj,3
508,N,3
509,N,3
510,N,3
511,N,3
512,N,3
513,N,3
514,N,3
515,N,3
516,N,3
517,N,3
518,N,3
519,N,3
520,N,3
521,N,3
522,N,3
523,N,3
524,N,3
